DATE,NAME,LATITUDE,LONGITUDE,DEWP,WDSP,MAX,MIN,PRCP,MONTH
2016-01-01,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,29.2,3.0,55.0,27.0,0.0,1
2016-01-02,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,32.8,2.4,57.0,27.0,0.0,1
2016-01-03,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,32.6,4.3,68.0,34.0,0.0,1
2016-01-04,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,32.0,4.9,68.0,39.0,0.0,1
2016-01-05,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,42.8,4.5,64.9,42.1,0.0,1
2016-01-06,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,44.5,5.5,59.0,44.1,0.48,1
2016-01-07,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,41.6,4.6,59.0,44.1,0.12,1
2016-01-08,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,41.9,3.4,55.9,42.1,0.09,1
2016-01-09,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,39.8,2.7,57.9,42.1,0.0,1
2016-01-10,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,44.5,2.7,57.9,42.1,0.0,1
2016-01-11,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,44.2,3.5,59.0,42.8,0.0,1
2016-01-12,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,41.5,4.9,63.0,39.0,0.0,1
2016-01-13,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,38.2,3.6,64.0,39.0,0.0,1
2016-01-14,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,42.3,4.5,64.0,39.9,0.0,1
2016-01-15,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,43.5,3.9,64.0,39.9,0.0,1
2016-01-16,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,43.0,3.4,64.9,45.0,0.0,1
2016-01-17,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,44.2,4.0,68.0,45.0,0.01,1
2016-01-18,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,47.8,3.9,68.0,45.0,0.0,1
2016-01-19,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,48.1,3.1,63.0,46.9,0.1,1
2016-01-20,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,49.6,3.3,59.0,45.0,0.15,1
2016-01-21,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,48.7,3.5,64.9,46.0,0.0,1
2016-01-22,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,41.8,4.9,73.0,46.0,0.0,1
2016-01-23,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,48.2,6.1,73.0,46.0,0.0,1
2016-01-24,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,43.5,3.1,60.1,42.1,0.07,1
2016-01-25,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,41.7,4.4,57.9,42.1,0.0,1
2016-01-26,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,41.1,2.2,64.0,41.0,0.0,1
2016-01-27,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,41.4,2.5,64.0,41.0,0.0,1
2016-01-28,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,40.9,2.4,64.9,39.0,0.0,1
2016-01-29,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,41.9,3.1,69.1,39.0,0.0,1
2016-01-30,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,43.1,5.4,69.1,43.0,0.0,1
2016-01-31,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,47.2,6.4,55.9,42.8,0.0,1
2016-02-01,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,33.8,8.2,52.0,36.0,0.93,2
2016-02-02,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,30.9,4.2,53.1,34.0,0.0,2
2016-02-03,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,31.7,2.6,57.0,33.1,0.0,2
2016-02-04,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,35.4,4.3,59.0,33.1,0.0,2
2016-02-05,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,37.2,2.6,64.0,34.0,0.0,2
2016-02-06,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,40.6,3.3,64.0,34.0,0.0,2
2016-02-07,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,43.0,2.7,68.0,39.9,0.0,2
2016-02-08,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,44.7,4.1,73.9,39.9,0.0,2
2016-02-09,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,43.0,3.7,79.0,41.0,0.0,2
2016-02-10,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,46.0,3.8,79.0,41.0,0.0,2
2016-02-11,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,47.4,3.1,77.0,45.0,0.0,2
2016-02-12,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,47.2,2.3,77.0,45.0,0.0,2
2016-02-13,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,49.0,3.2,73.0,46.0,0.0,2
2016-02-14,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,48.1,2.8,70.0,45.0,0.0,2
2016-02-15,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,47.6,4.0,73.9,45.0,0.0,2
2016-02-16,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,49.0,3.7,79.0,46.9,0.0,2
2016-02-17,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,47.4,4.9,79.0,46.9,0.0,2
2016-02-18,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,44.7,8.2,72.0,50.0,0.07,2
2016-02-19,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,38.9,3.4,66.9,41.0,0.11,2
2016-02-20,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,41.2,3.2,66.9,39.9,0.0,2
2016-02-21,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,43.2,1.8,64.0,39.9,0.0,2
2016-02-22,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,44.7,2.3,66.9,39.9,0.0,2
2016-02-23,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,43.1,2.8,72.0,43.0,0.0,2
2016-02-24,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,37.8,4.5,82.0,43.0,0.0,2
2016-02-25,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,41.2,4.1,82.0,46.0,0.0,2
2016-02-26,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,42.3,2.4,79.0,45.0,0.0,2
2016-02-27,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,46.7,3.5,79.0,45.0,0.0,2
2016-02-28,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,48.9,3.0,73.0,48.9,0.0,2
2016-02-29,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,46.7,2.8,72.0,48.9,0.0,2
2016-03-01,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,45.1,3.0,80.1,48.9,0.0,3
2016-03-02,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,45.5,3.4,81.0,48.9,0.0,3
2016-03-03,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,44.0,5.3,81.0,51.1,0.0,3
2016-03-04,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,46.7,4.1,73.9,51.1,0.0,3
2016-03-05,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,50.2,3.3,73.9,51.1,0.0,3
2016-03-06,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,47.3,6.8,72.0,51.1,0.02,3
2016-03-07,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,39.9,5.4,68.0,48.9,0.02,3
2016-03-08,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,43.3,4.3,62.1,48.0,0.18,3
2016-03-09,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,41.4,3.3,72.0,44.1,0.0,3
2016-03-10,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,44.8,3.7,82.9,44.1,0.0,3
2016-03-11,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,42.8,6.9,82.9,48.0,0.0,3
2016-03-12,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,43.2,2.5,73.0,45.0,0.23,3
2016-03-13,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,43.5,3.8,66.9,45.0,0.0,3
2016-03-14,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,50.4,6.9,66.9,46.9,0.0,3
2016-03-15,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,44.4,4.3,68.0,45.0,0.0,3
2016-03-16,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,43.8,3.2,73.9,45.0,0.0,3
2016-03-17,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,46.1,3.8,80.1,46.9,0.0,3
2016-03-18,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,48.2,4.1,82.9,50.0,0.0,3
2016-03-19,"BAKERSFIELD AIRPORT, CA US",35.43424,-119.05524,47.0,3.5,82.9,51.1,0.0,3
